entity,category,document_id
Великобритания,LOC,ru-1153
новая стратегия,PRO,ru-1153
Дэвид Дэвис,PER,ru-1153
переговоры по брекситу,EVT,ru-1153
ЕС,ORG,ru-1153
Борис Джонсон,PER,ru-1153
Соединенное Королевство,LOC,ru-1153
соглашение,PRO,ru-1153
кабинет министров,ORG,ru-1153
права и обязанности,PRO,ru-1153
заключение соглашения,EVT,ru-1153
британский парламент,ORG,ru-1153
Тереза Мэй,PER,ru-1153
референдум,EVT,ru-1153
None,EVT,ru-1154
None,LOC,ru-1154
None,PER,ru-1154
None,PRO,ru-1154
None,ORG,ru-1154
Переговоры с ЕС по выходу из союза,EVT,ru-1155
Правительство Британии,ORG,ru-1155
"Министр по цифровым технологиям, культуре, СМИ и спорту",PRO,ru-1155
Мэттью Хэнкок,PER,ru-1155
Уэльс,LOC,ru-1155
Министр здравоохранения,PRO,ru-1155
Кабинет министров Великобритании,ORG,ru-1155
Министр культуры,PRO,ru-1155
Министр иностранных дел,PRO,ru-1155
Министерство иностранных дел Великобритании,ORG,ru-1155
Отставка Бориса Джонсона,EVT,ru-1155
Дэвид Кэмерон,PER,ru-1155
Т.Мэй,PER,ru-1155
ЕС,LOC,ru-1155
Олимпийских игр и спорта,PRO,ru-1155
Консервативная партия,ORG,ru-1155
Великобритания,LOC,ru-1155
Назначение Джереми Ханта министром иностранных дел,EVT,ru-1155
Дэвид Дэвис,PER,ru-1155
Б.Джонсон,PER,ru-1155
Джереми Хант,PER,ru-1155
Англия,LOC,ru-1155
Министр по делам Brexit,PRO,ru-1155
Джереми Райт,PER,ru-1155
Референдум о выходе Британии из ЕС,EVT,ru-1155
СМИ,PRO,ru-1155
Генеральный прокурор Англии и Уэльса,ORG,ru-1155
None,EVT,ru-1156
None,LOC,ru-1156
None,PER,ru-1156
None,PRO,ru-1156
None,ORG,ru-1156
Глава профильного министерства,PRO,ru-1157
Премьер-министр,PRO,ru-1157
Министр здравоохранения,PRO,ru-1157
Борис Джонсон,PER,ru-1157
Министр иностранных дел,PRO,ru-1157
Министерство иностранных дел Великобритании,ORG,ru-1157
Отставка Бориса Джонсона,EVT,ru-1157
МИД Великобритании,PER,ru-1157
"Министр цифровых технологий, культуры, СМИ и спорта",PRO,ru-1157
Профильное министерство,ORG,ru-1157
Россия,LOC,ru-1157
Возможный правительственный кризис,EVT,ru-1157
Великобритания,LOC,ru-1157
Назначение Джереми Ханта министром иностранных дел,EVT,ru-1157
Минздрав Великобритании,ORG,ru-1157
Джереми Хант,PER,ru-1157
Матч полуфинала чемпионата мира по футболу в России,EVT,ru-1157
Глава МИД,PRO,ru-1157
Кабинет министров Великобритании,PER,ru-1157
Тереза Мэй,PER,ru-1157
None,EVT,ru-1158
None,LOC,ru-1158
None,PER,ru-1158
None,PRO,ru-1158
None,ORG,ru-1158
None,EVT,ru-1159
None,LOC,ru-1159
None,PER,ru-1159
None,PRO,ru-1159
None,ORG,ru-1159
ONLINE.UA,ORG,ru-1161
Великобритания,LOC,ru-1161
BBC,ORG,ru-1161
Евросоюз,ORG,ru-1161
Борис Джонсон,PER,ru-1161
парламент,ORG,ru-1161
обязательства,PRO,ru-1161
правительство,ORG,ru-1161
ЕС,LOC,ru-1161
отставка Бориса Джонсона,EVT,ru-1161
Тереза Мэй,PER,ru-1161
Brexit,EVT,ru-1161
None,EVT,ru-1162
None,LOC,ru-1162
None,PER,ru-1162
None,PRO,ru-1162
None,ORG,ru-1162
